store,code,lat,lon,region,demand (boxes)
Al Jazera Rabie,A1-J-RI,24.77327743,46.65507078,Region 1,346
Al Jazera Yasmeen,A1-J-YN,24.82200725,46.63035005,Region 1,123
Carrefour Tala Mall,A1-C-NL,24.77191384,46.66890489,Region 1,89
Danube Al-Ghadeer,A1-D-GR,24.77010894,46.66511644,Region 1,89
Danube alyasamin,A1-D-YN,24.82360708,46.65527799,Region 1,56
Panda 05,A1-P-SA,24.79816323,46.64220638,Region 1,69
Panda 10003 Alia,A1-P-RI,24.80750705,46.66907814,Region 1,124
Panda 101,A1-P-NA,24.80675473,46.69284581,Region 1,350
Panda 155,A1-P-NS,24.81460881,46.72534301,Region 1,0
Panda 101,A1-P-NA,24.80675473,46.69285654,Region 1,0
Panda 177,A1-P-MH,24.81469646,46.72534301,Region 1,0
Spar Yasmeen,A1-SYN-YN,24.82268059,46.65027672,Region 1,0
Tamimi 150,A1-T-YN,24.82055699,46.64246374,Region 1,0
Tamimi 155,A1-T-NS,24.85843413,46.64687467,Region 1,0
Tamimi 160,A1-T-RI,24.7910008,46.64908309,Region 1,0
Tamimi 155,A1-T-NS,24.8192612,46.68674659,Region 1,0
Al Jazeera Sulemania,A1-J-MT,24.7559616,46.6837359,Region 1,0
Al Sadhaan Marouj,A1-SN-MJ,24.7537898,46.6640234,Region 1,0
Carrefour Garnada,A1-C-GH,24.7809357,46.7291759,Region 1,0
Danube Al Maghriqat,A1-D-MG,24.761595,46.7231027,Region 1,0
Manuel,A1-ML-NZ,24.7588202,46.7158892,Region 1,0
Panda 01,A1-P-SH,24.7194598,46.6909462,Region 1,0
Panda 104,A1-P-IZ,24.778361,46.7100689,Region 1,0
Spar Nuzha,A1-SNZ-NZ,24.764191,46.7143295,Region 1,0
Tamimi 134,A1-T-NZ,24.7574589,46.712862,Region 1,0
Panda 121,A1-P-YK,24.7984362,46.6420482,Region 1,0
Panda 156,A1-P-HM,24.8369625,46.7430598,Region 1,0
Tamimi 159,A1-T-SN,24.7283786,46.6909123,Region 1,0
Tamimi 165,A1-T-NDA,24.80129,46.6740985,Region 1,0
Al Sadhan King abdullah,A1-SN-WD,24.731641,46.674702,Region 1,0
Al Sadhan olya,A1-SN-OY,24.73181901,46.67471245,Region 1,0
Danube alhayaa,A1-D-KF,24.74379309,46.67942164,Region 1,0
Panda 114,A1-P-MF,24.770748,46.688954,Region 1,0
Panda 13,A1-P-MF(2),24.760752,46.674567,Region 1,0
Danube Al Nakhlah,A2-D-NH,24.74076727,46.64475332,Region 2,0
Danube Hittin,A2-D-HN,24.75339879,46.60989062,Region 2,0
Danube tilal,A2-D-MA,24.8085767,46.61644289,Region 2,0
HP Panda 10004,A2-HP-HN,24.75343512,46.58588005,Region 2,0
Panda 125,A2-P-Nk,24.74435609,46.62116199,Region 2,0
Spar Nakheel,A2-SNK-Nk,24.74329357,46.65120285,Region 2,0
Tamimi 152,A2-T-MA,24.80169832,46.60325121,Region 2,0
Al Jazeera Aqiq,A2-J-AQ,24.7668505,46.6226404,Region 2,0
Carrefour Park,A2-C-AQ,24.7585705,46.6298084,Region 2,0
Danube aleaqiq,A2-D-AQ,24.7628259,46.6256822,Region 2,0
spar aqeq,A2-SAQ-AQ,24.7855021,46.6340227,Region 2,0
Spar Rahmania,A2-SR-R,24.7115515,46.6623195,Region 2,0
Tamimi 148,A2-T-NHD,24.7419941,46.6032341,Region 2,0
Al Sadhan Sahafa,A2-SN-SHF,24.810072,46.624147,Region 2,0
Carrefour Sados,A2-C-IQ,24.685599,46.582742,Region 2,0
Danube earqa,A2-D-IQ,24.694253,46.605778,Region 2,0
Panda 10022 Galary,A2-P-KF,24.741813,46.658356,Region 2,0
Tamimi 142,A2-T-IQ,24.694086,46.607353,Region 2,0
Carrefour Qasar,A3-C-Q,24.72392483,46.77511304,Region 3,0
Danube Al Waha,A3-D-W,24.7855432,46.7994933,Region 3,0
Al Sadhaan Manar Khuraish,A3-SN-MN,24.7280214,46.7841065,Region 3,0
Al Sadhaan Rawdha,A3-SN-RW,24.7537953,46.7698137,Region 3,0
Carrefour quods,A3-C-QS,24.7564006,46.7603304,Region 3,0
Carrefoure Khuraish,A3-C-RW,24.7235466,46.7751711,Region 3,0
Danube Andalusia,A3-D-AS,24.7352131,46.7836774,Region 3,0
Danube Rawabi,A3-D-RWI,24.6854953,46.7941638,Region 3,0
Danube Yarmouk,A3-D-YK,24.812373,46.770157,Region 3,0
HP Panda 10008 Ryan,A3-HP-RN,24.7024288,46.7705606,Region 3,0
HP Panda 10013 Sheikh Jaber,A3-HP-YK,24.7983409,46.8145969,Region 3,0
Panda 110,A3-P-H,24.7681581,46.7571312,Region 3,0
Panda 116,A3-P-QD,24.7551094,46.7915755,Region 3,0
Panda 124,A3-P-NHD,24.6810412,46.7830672,Region 3,0
Panda 121,A3-P-YK,24.8176386,46.781834,Region 3,0
Panda 140,A3-P-ND,24.811306,46.9000236,Region 3,0
Panda 146,A3-P-NM,24.7255769,46.8160959,Region 3,0
Panda 146,A3-P-NM,24.8278211,46.7818354,Region 3,0
Panda 146,A3-P-NM,24.7016751,46.8334267,Region 3,0
Spar Hamra,A3-SH-H,24.7628677,46.7455837,Region 3,0
Tamimi 180,A3-T-IH,24.779418,46.788618,Region 3,0
Panda 26,A3-P-OL,24.742204,46.807839,Region 3,0
Panda 10014,A3-P-SW,24.789925,46.764848,Region 3,0
Panda 117,A3-P-MTH,24.811385,46.87663,Region 3,0
Panda 119,A3-P-RB,24.807755,46.806916,Region 3,0
Panda 04,A3-P-MU,24.71171,46.845049,Region 3,0
Al Jazerah Takasusi,A4-J-Nk,24.67923569,46.7553215,Region 4,0
Al Jazeera Sulemania,A4-J-SH,24.7055562,46.6886577,Region 4,0
Al Sadhan Sulemania,A4-SN-SH,24.7070377,46.68916,Region 4,0
Danube altakhasusiu,A4-D-MM,24.6659221,46.6831204,Region 4,0
Panda 01,A4-P-SH,24.6651906,46.7111002,Region 4,0
Panda 158,A4-P-MR,24.6153925,46.7464658,Region 4,0
Tamimi 136,A4-T-SH,24.698075,46.7016967,Region 4,0
Farm 51,A4-FM-SF,24.6544575,46.6693714,Region 4,0
HP Panda Salam mall,A4-HP-SM,24.5571512,46.6373092,Region 4,0
Panda 121,A4-P-YK,24.5702212,46.8357108,Region 4,0
Panda 131,A4-P-RW,24.5695707,46.7882154,Region 4,0
Al Sadhan Rabwa,A4-SN-RB,24.68876136,46.75250942,Region 4,0
Al Sadhan Rabwa,A4-SN-RB,24.688664,46.752489,Region 4,0
Al Sadhan shafa,A4-SN-SHFA,24.545833,46.712127,Region 4,0
Carrefoure Flamingo,A4-C-SW,24.600748,46.69908,Region 4,0
Danube albadiea,A4-D-BD,24.592456,46.621979,Region 4,0
Danube panorama,A4-D-MZ,24.693625,46.668143,Region 4,0
HP Panda 100,A4-HP-MZ,24.676289,46.677194,Region 4,0
HP Panda 10006 Uraijah,A4-HP-AZ,24.578825,46.584268,Region 4,0
HP Panda 10007,A4-HP-HZM,24.537192,46.656921,Region 4,0
HP Panda 10010,A4-HP-UM,24.679862,46.653596,Region 4,0
HP Panda 100,A4-HP-MZ,24.664741,46.682404,Region 4,0
HP Panda 10010,A4-HP-UM,24.68010222,46.65346829,Region 4,0
Hp Panda Badia,A4-HP-BD,24.604124,46.650225,Region 4,0
Panda 04,A4-P-MU,24.665572,46.711122,Region 4,0
Panda 08,A4-P-JR,24.677211,46.744174,Region 4,0
Panda 102,A4-P-MZ,24.649948,46.726401,Region 4,0
Panda 118,A4-P-AZ,24.586328,46.759865,Region 4,0
Panda 10014,A4-P-SW,24.63969914,46.69319368,Region 4,0
Panda 144,A4-P-B,24.5866367,46.75987175,Region 4,0
Panda 6,A4-P-OL,24.639445,46.693209,Region 4,0
Panda 07,A4-P-OL,24.627727,46.681699,Region 4,0
Tamimi 129,A4-T-SW,24.589983,46.622998,Region 4,0
Tamimi 131,A4-T-OY,24.690919,46.682013,Region 4,0
Tamimi 140,A4-T-RB,24.68632,46.746638,Region 4,0
Tamimi 144,A4-T-MZ,24.67434,46.668434,Region 4,0
Tamimi 144,A4-T-MZ,24.662049,46.729971,Region 4,0
Tamimi 140,A4-T-RB,24.68999871,46.73342591,Region 4,0
Tamimi 163,A4-T-ZH,24.689819,46.733099,Region 4,0
